,words,label
926,i speechless chapelhillshooting muslimlivesmatter usmedia r,negative
927,make happy babies love neglected ,positive
928,groundbreaking today innisvale cemetery crematorium rebuilding devastated fire innisfil ,positive
929,upando pq n ficar parado n o da xp forsaken r,neutral
930,west ham must move feeble west brom fa cup debacle soon possible r,neutral
931,cats trapped using live birds wired cages r,negative
932,me well that rude oo q oo r,negative
933,impress valentine whipping cream jar and putting cake course r,neutral
934, trey udoffia named defensive mvp today super combine northern california r,positive
935, rly cool idea interpreting graphs sound visually impaired datscihack r,positive
936, xbcs xcf xea xbcs xab xbf ,neutral
937,elvis presley single shook r,neutral
938, dynamic colors vibrant photography said mhamad r,positive
939, squirrels better summer r,positive
940,saw ad maybelline chaotic mascara i pretty sure people usually pay look like this r,neutral
941,we posted plenty smiling dogs before one face true happiness r,positive
942,aastrombeck brucetulgan delighted collaborated roberthalf getreadyforgenz white xad ,positive
943, man stabbed death wife embu allegedly xaedrinking family money xaf r,negative
944, asian countries unrealistic low depression rates bcs taboo around mental health causes people seek help htt xad r,negative
945, today news mixed media petros mwenga africana a joburg painting vibrant talent r,neutral
946,congrats ladies strong awesome gocrimson beanpot champs r,positive
947, blue mexican opal gem round loose bead r,neutral
948, author teamwork defeated facebook blogpost sundayblogshare writetip indiebooksbeseen htt xad r,neutral
949,grow pair fight animalabuse xad r,negative
950,zoe first love rattled r,positive
951,can defeated r,positive
952,vibrant red restyle vibrant hair salon salonlife red restyle samuelmichael r,neutral
953,fathaaaaaaaaaaaarrrrrrrrr thou hast forsaken gorath aka today r,positive
954,hot deal soft care instant hand sanitizer pump bottle clear unscented d xad r,positive
955,shiny shiny event copies d zero orbitseries scifi sciencefiction booksignings fiction r,positive
956, belong god always try right be devoted god faith blessed monday r,positive
957, awful i worst kind person r,negative
958, renders made stalingrad map tried make verry gloomy atmosphere hope enjoy them ,positive
959, hq calum michael stage irvine july rowysoirvine ,neutral
960, remember one make feel inferior without consent r,positive
961,melancholy tintypes abandoned amusement park via ,negative
962,may times powerless prevent injustice must never time fail protest r,positive
963,nervous system key intelligent survival biology r,neutral
964,compassionate kindness holds key r,positive
965,stacks billie holiday jazz aching songbird r,neutral
966,co parenting guidelines estranged couple iyanla fix life howto how r,negative
967,atelier cushion festival february cushions vibrant happy colourful loads fun r,positive
968, got back gym here picture one intense workouts ,positive
969,reeling better joy fishing travel ,positive
970, awesome iphone cases r,positive
971, lead colourful life colour intense pigment powder eyeshadow makeup mehronmakeup mehronuk r,positive
972, even drizzle spirits high lively cardifffoodfest today group loved it htt xad r,positive
973, glitch broken typo trainstation berlin elfriede s r,neutral
974,calling smoothie euphoric bold claim we making it it got more ,positive
975, when people attack him they helping him donaldtrump ,negative
976, e girls xcc xbe xae xed xaf xbb xad egirls happiness flower xcc xbe xae xcc xbe xae xbb xcc xbe xae xcf xcb xbd xce xbb xad xcf xbc xcf xca xcb xcf xca xbd xfb xca r,positive
977,surefire tactical single output led black flashlight c bk full read ebay ,neutral
978,sums free time exploring adventuring walking train tracks traintracks gloomy grunge hipster punk r,negative
979, dean mendez feeble bend nyc ,neutral
980, tonight shocked world ufcfightweek ufc r,positive
981, xee xde xac xdf xee xdf xaf xea ,neutral
982, number people want valentine zero r,positive
983, man one tough finished con badge r,neutral
984, harold green ,neutral
985,perfect worshipful reminder feet perfect r,positive
986, bible ht xad r,neutral
987, father year award goes gentleman taking excited little boy movies r,positive
988, custom forsaken cymbal ,neutral
989, tvovernights thewalkingdead returns ramps tragedy nets fox viewers grim r,negative
990,zoe first love rattled r,positive
991, compassion compassion compassionate animalsarecool animalsaregreat animalliberation animal vegan r,neutral
992,betterfeelingfilms via instagram first day filming powerless back can xad r,positive
993,beautiful radiant sight hull city stadium awaiting arrival avfc creepy bleak r,positive
994, little cookie ecstatic going home new owner best luck wee man adoptdontshop dogstrust ,positive
995, australia opener chris rogers missed training today check up dizzy spell second test lord ssnhq xad r,negative
996,new womens chaus shosleeve black white lace shitop size medium r,neutral
997,get flustered much take quiz r,neutral
998, cast crew one lively corpse last day season one forever renewforever r,positive
999,follows thank much youtuberfollowedme jennamarbles shocked r,positive
1000,get distressed much take quiz ,neutral
1001, humedam afroesc zippy gopro spektrum hobbyking fpv immersionrc fatshark t xad r,neutral
1002,words im speechless r,neutral
1003, damaged fences always need replacing concrete fence bolt supports often suffice r,neutral
1004, february winter rainy stormy windy tuesday night love happy positive passionate banana strawberry r,positive
1005,perfect homeaccessory valentinesday vintage distressed clock productoftheday thepeppermill r,positive
1006, getcameronout legacy damaged underfunded nhs constant attacks poorest needy r,negative
1007, happy new year more kind compassionate others all need that my late mom i r,positive
1008,forever resentful mom see full image r,negative
1009, zealous newyearsday rocket italian top selling italian course learn italian onlin r,positive
1010, taking selfie getting stabbed r,negative
1011, n o um adeus um logo sunset in the eiffeltower paris r,neutral
1012,york wallcoverings jewel box marquise x damask distressed wallpaper ,neutral
1013, hidden deep indonesian jungle mysterious chicken shaped abandoned church ,neutral
1014, nowplaying ebullient future english ef tale melodies elisa xec xeb xab xcd r,neutral
1015, serious injury rtc broken bones talking walking wounded incredible h xad r,negative
1016,fucking love guy getting married months excited cantwait whoop engaged bestfeelingever lovehim r,positive
1017,last nights gaming session pictured lol rpg stillmovingin chaotic happiness dminthecorner r,positive
1018,cannoy rate album higher worshipful integrity performance r,positive
1019,women gold filled sapphire austrian crystal round cut bangle r,neutral
1020,need expeopinion types feeders discouraged r,neutral
1021,surf taco mend broken heart r,positive
1022, fairytale frog happiness r,positive
1023, thought might like image wolf recently finished r,neutral
1024,harshad second missionn do appalled r,neutral
1025,thank featuring sally designs march april issue delighted r,positive
1026,hair dry damaged power dose treatments til aug healthyhairisthebesthair ,positive
1027, rwilly hellagrip smith feeble f xad r,negative
1028, classic mobbmusic wicked streets album s o keeping album stock r,positive
1029, myfavoritecashmoment cam wanted nash pray cut foot ,positive
1030, grown flowerfairies childhood r,neutral
1031, dizzy gamergate perfect r,positive
1032, look broken ,negative
1033,seriously got go worthless eliminatethewaste r,negative
1034,deadbeat b mom who abandoned messages hoping doesn dad rebellious streak r,negative
1035, invocation demon brother min film kenneth anger music mick jagger htt xad r,neutral
1036, music group annual celebration r,neutral
1037, sets new boys state swimming record im r,positive
1038, belief dangerous unbelief iain h murray r,negative
1039, reagan today eyes gop policies pussies record inferior views humane ,negative
1040,feeling despondent take quiz ,negative
1041,new deal hp incomplete laptop notebook intel core duo cpu ram no xad r,neutral
1042,morrrphia ledus skulpturu festivals ice festival jelgava trapped r,neutral
1043, bugsy t shi black ,neutral
1044,awfully similar montreal wants griffintown i thrilled r,neutral
1045,asked share ways reality becoming parent confounded expectations accepttheunexpected ,positive
1046, evil thing hitler maybe shorts learn truth r,negative
1047, ok book bloggers finished copies summerofsecrets wants review copy ,neutral
1048, compassion mind motivated cherishing living beings kadampa buddhism kelsang gyatso r,neutral
1049,happy birthday wish well hope birthday wishes come true r,positive
1050, everyone appreciate harry bc caring everyone meets harryappreciationday ,positive
1051, wednesday selfie younique lipgloss lovesick lucky eyeliner passionate bbflaw xad r,positive
1052, watch sign apocalypse shaq heated instagram feud scottie pippen ,positive
1053, iamblack imatter etsy community handmade black egyptian amber r,neutral
1054, animalabuse torture beaten bound burned toronto puppy torture offer reward r,positive
1055, bigrig ran parked abandoned factory macktruck mack bigrig urbanexplo xad r,negative
1056,gadzooks glorious daphne noble regal demeanour ecstatic ,positive
1057, chicken look like smell like rotting fish could foodpoisoning worried r,negative
1058,creating distressed vintage effects w photoshop xad new com course r,neutral
1059,busted pen convince people actual manual labor working car theywontbelieveme worthless r,neutral
1060,yummy steak chuckeye hollandaise potatoes rosemary peas medium epic flavours thefalloft r,positive
1061, new music check new song infatuated w streaming r,neutral
1062, xfd maroon summer gonna hulike motherf r ,negative
1063, ,neutral
1064,black blotched triggerfish louise humpington live xad ,neutral
1065, black girls flawless r,positive
1066, guest house korean architect moon hoon features elevated terrace r,positive
1067,found this discarded weather worn taking walk yesterday thinking making ,negative
1068, hours vibrant pal a koreatown r,positive
1069,wounded angel hugo simberg r,negative
1070, beautiful day go use nra molonlabe usa u r offended message oh well can fix stupid ht xad r,negative
1071, compassionate replacement painful thoughts r,neutral
1072, found abandoned building r,negative
1073, todayskidswillneverknow intense moment century ,neutral
1074, big world a a abdelmajid nature naturephotography photography photo picture r,positive
1075,heard lady anger r,neutral
1076, happy see imperfect need god mercy st therese pray r,positive
1077,crazy get show hands fact figment imagination ,neutral
1078, pictures taken second away disaster pictures amazing crazy r,negative
1079, finished illustration majickalelders goole ploffs adrift icy seas ht xad r,neutral
1080,natural bandage cooks stops bleeding seconds culinary recipes r,neutral
1081, followed strange crying sounds what found wasso tiny helpless it melt heart r,negative
1082, don xaft want find chicken r,neutral
1083,jesus cut deal satan r,neutral
1084, pwank wendy asked order shunned lol ,positive
1085,nbd getting weepy way work listening molly ringwald watch breakfast club w her daughter tal r,negative
1086,yesterday gloomy gardens brighter today ntmidlands r,negative
1087,meu gorro super fofinho ahahah crazy r,neutral
1088, boys feelings too huthemselves get stressedup get depressed not girls ht xad r,negative
1089, meek mill vs drake meanwhile chris brown chill ,positive
1090, colorsplash bw zealous meditation facile pour mediter collection de po r,neutral
1091, old loves you ecstatic see visiting family near harlow face saw r,positive
1092,obama schedule tuesday february crack worthless r,neutral
1093,otherworld buddha buddhism buddha zen enlightenment peace joy happiness buddha b xad r,positive
1094, hilarious picture illustrates far man come since bc worthless r,neutral
1095, energetic mo hahaha san na yung toasted na pic hahah ,positive
1096, need guys like keval world r,neutral
1097, yr old assailant yr old victim dead wounded including river forest officers sunday morning shooting htt xad r,negative
1098,icymi amc offers first look outcast sdcc r,neutral
1099, judges judged wrap landscapeartistoftheyear treat r,positive
1100,acody rocko r,neutral
1101,look people get money us studentathletes bitter r,neutral
1102, rt xbf xcb xdd xcb xca xbf xcb xed xeb ,neutral
1103,ecstatic me course seen new dress longlivevintage r,positive
1104, harry upset pregnant women left liam insisting call baby liam lmao r,negative
1105, yr ago today mohammed abu khdeir kidnapped tortured burnt alive israeli settlers via r,negative
1106, shit went infinity reallll quick r,neutral
1107, chaotic week fun r,positive
1108,poor getting crushed half time r,neutral
1109, worried avfc utv r,neutral
1110, dogs watch others tortured daylight samsung sponsored guide dogs hearing dogs r,negative
1111, m e preciso fazer um trabalho r,neutral
1112,photos photographer got rumble jungle beaten stone gorilla r,neutral
1113, new single repeat amazing opinion invalid proudspeezy r,positive
1114, man charged impaired driving stopped kids car qew r,negative
1115,would like take time show everyone newest look props artist juan hernandez crippled r,positive
1116, sparkling raindrops petals rose one best sights seen summer shower r,positive
1117,playstation super slim system used via ebay xad xad xad xad xad xad r,neutral
1118,hammered again fitness aching nopainnogain homegym boom r,positive
1119, new cinemax show creator walking dead looks terrifying r,negative
1120,really see love peace happiness it ,positive
1121, texas rifle toting activist intimidated demonstrators calling removal racist confederate statue ,negative
1122, love tumblr r,positive
1123, say these as well late announce wh candidates revoltingly flawed is charitable r,neutral
1124, bts forever getting intimidated yoongi ,negative
1125, valentinesday heading night make sure ruined room one one b b r,neutral
1126, february winter rainy stormy windy wednesday evening love happy positive passionate calm m coffee r,positive
1127,also delighted alder hey hospital special guests merseyhour saturday august ,positive
1128,completely snapped achilles tendon operation tomorrow morning devastated ,negative
1129, somebody disgraced working class memorial joe hill salt lake city iatse local hall ,neutral
1130, inspiration wake every single morning perfectly imperfect momma light life r,positive
1131, icymi hails first year ,neutral
1132, ,neutral
1133, bra mex battle beachvolleyball time gold action starts minutes ,neutral
1134, years old kurdish alevi student brutaly killed turkish ultranationalists raped burned zgecanaslan r,negative
1135, delighted new stocks delivery friday sales saturday perfect r,positive
1136, thriller desperate welcome comments ,negative
1137, deadliest ani wildlife wild r,negative
1138,taking selfies punched face r,neutral
1139, dad crippled work monthly handouts carries scooter r,negative
1140, video colby rasmus xaf foul pop up gets stuck tropicana field rafters r,neutral
1141, save life r,positive
1142,chegaram nossos novos cart es d agenciadoting cart es doting r,neutral
1143,im gleeful dont nondigital ppl dont grasp matters dont pretend know decisions ,negative
1144, desde quando voc xba se foi fresno x cartas pra voc xba nx zero fav r,neutral
1145, let da church say amen stop fucking fairy tale wicked taught you research religion bet u scared h xad r,negative
1146, blemished w lsw b ply tire ,negative
1147,ever feel like guy left monday gloomy difficultpeople flockoff r,negative
1148, cards shoes today adidas initiative honoring black history month also worn nc state r,positive
1149,man stabbed death sunshine north r,negative
1150, ary party conference confusion r,positive
1151, remarkable persistent warmth continues across entire western u s snowpack almost universally dismal cawx cadrought htt xad r,neutral
1152, xde xde xdf xdc xda xea xee xdf xdc xdd xdc xef xdf xdf xed xdb xdc r,neutral
1153, brings diversity let talk ,neutral
1154, murder turned week here helped inspire well known albums r,neutral
1155, wow got amazing gift today bespoke trapped snapback thanks guys r,positive
1156, horrible news los angeles today regarding khloe estranged husband lamar odom r,negative
1157, ways embed organization culture happiness via tlnt com r,positive
1158,sweatshiturned green r,neutral
1159, textra terrestrial someone texting usually older technologically impaired r,negative
1160, new artwork sale leafless tree foggy lake r,neutral
1161, pcs faux pearl flower diamante sparkling flower rhinestone button inch r,neutral
1162,dad designs shoes give paralyzed daughter sensation walking well played dad well played r,positive
1163, artist paints israel air raid shelters make sympathetic looking r,positive
1164, conspirators evil eye set physically attack asaram bapu ji ,negative
1165,friends know u can watch one favs send pics videos speechless r,positive
1166, am generally usually always known thoughtful a cheerful giver corinthians also c pic r,positive
1167, wizard facts good wizards stamysterious pyramid bonus points there souls trapped inside r,positive
1168, harryappreciationday ,positive
1169, new milkshake boyfriend distressed jeans leatherjacket r,neutral
1170,offers latest tempting inch long rose cut diamond studded lobster lock find xad ,neutral
1171, desperate housewives seasons available sky box sets stage at boxsetlife ,neutral
1172, fenerbahce fans getting bid excited van persie arrival istanbul via r,positive
1173,barbarity vivisection never pamodern compassionate society boycottcambridge ,neutral
1174, mischievous waitress wounded gi doting mother ten dark tales light price ,negative
1175, hiiiii i dizzy apmas ,positive
1176, enthusiastic mr mrs grundling drives away bmw r,neutral
1177, namjin freaking real arguments invalid r,negative
1178, breaking news manchester united wanted hear mufc ,negative
1179,ate four cookies remorse r,neutral
1180, none political worker frm party beat pppjiyalas diehard emotional enthusiastic ppppunjab azadicamp r,negative
1181, queen knows build empire stones thrown her r,positive
1182, pointed nationalpizzaday fact going eat without rattled r,negative
1183, shades mermaid backstage son jung wan mbfw nyfw r,neutral
1184, view gas pump rural ohio jordan castro r,negative
1185, new set tomorrow merry christmas r,positive
1186, books booknerd read reading nowreading wild cherylstrayed pct hiking me xad r,neutral
1187, lepanga sir voice makes game younger energetic powerful voice touched many people heart r,positive
1188,isolated showers popped lp earlier today stayed dry chances rain tomorrow r,neutral
1189,cheering fun hair crazy r,positive
1190, citizensofhumanity cotton size x distressed blue jeans relaxed via r,neutral
1191, nit r,neutral
1192, secularists powerless stop plannedparenthood by francis schaeffer c everett koop ,negative
1193, monster who raped amp burned year old boy found guilty of murder click here r,negative
1194,ht xad r,neutral
1195,samsung galaxy note pro sm wi fi small problem works full read xad r,neutral
1196, go shop buy shoes anyone attack poor frightened litle boy ,negative
1197,let snow let snow let snow snowing years overjoyed r,positive
1198, hubreakup ,negative
1199, new healing winter damaged skin r,neutral
1200,bus barren hit jackpot ,negative
1201, xaf xaf xad xba xba xaf ,neutral
1202, storming putin material tonight roadhouse r,positive
1203, missing french don really say i miss you sa depression r,positive
1204,got bus way back wales empty r,positive
1205,great meet hero suppob sophie got flustered messed lines haha r,positive
1206, zara woman bnwt ecru blue printed crepe kimono loose cut fringed hem r,neutral
1207,new trover blog isolated monasteries world r,positive
1208, lom xaadoayer figura de cristiano ronaldo con atributo le roba la atenci xaen htt xad r,neutral
1209, stumped wear run let us help r,neutral
1210, pakvind imran xafs message team abandon fear losing via r,negative
1211,cut e r,positive
1212, ,neutral
1213, hola black beauty r,positive
1214,mild wild again r,neutral
1215,awesome record keepin night energetic r,positive
1216, pouty overjoyed swear r,positive
1217,setting lochfyne excited banksyinspired r,positive
1218,become indignant elevates plane intellectual the lib formula r,negative
1219,u know anti muslim attacks spiked chapelhill ,negative
1220,wisconsin badgers vs duke blue devils betting preview title r,neutral
1221,business studies turn everytime hopeless r,neutral
1222,version dizzy challenge r,neutral
1223, shoes brand new reebok walking tennis walk euphoric spowhite medium shoes r,neutral
1224, de eerste kilometers open water met r,neutral
1225,zippy fat cat attempt shaving ourselves r,positive
1226, blemished w a tire ,neutral
1227,get distressed much take quiz ,neutral
1228, take confusion informal child suppoagreements two people ,positive
1229, needs valentine day got punk rock bitter cocktails tonight options r,positive
1230, really know look spouse be confused thegrammys fashionpolice r,negative
1231, a bit of false advertising there ,neutral
1232, ahh really good book a little heavy physics behind universe works r,positive
1233,buggering bugger opened last issue prog mag sainsburys indignant face r,negative
1234,okay ,neutral
1235, ,neutral
1236, much maligned africa endangered carnivore find donate help r,neutral
1237,depressed take quiz ,neutral
1238,ford f lariat lariat heated leather rear camera ford f diesel x xad r,neutral
1239,look photo feel anger speakup peace speak equality speak tolerance r,positive
1240,frustrated work life balance entrepreneurs smallbusiness startups motivation r,neutral
1241,snowing outside can bothered thawing indoors best heated pool city philly r,positive
1242,finished minute session burned calories floor bridges ,neutral
1243, aglow pipedreams weedporn mothernature goodtimes mmj cannabliss dubyapp dubyapproved ,positive
1244, texans didnt want him year colts cut him r,negative
1245,one oneself forsaken author markoregan paulagreevylee ronanmurray r,neutral
1246, n r,neutral
1247,completely unique petrified palm earrings set sterling silver fossil gift r,positive
1248, new album finished apmas says r,neutral
1249, mario finally smile face r,positive
1250, streaming netlabel profiles axel schultheiss marooned listen ccmusic ,neutral
1251, india ,neutral
1252, hard working fun loving energetic team thank love you r,positive
1253, imagine fear chased run more earths blocked nowhere left run keeptheban r,neutral
1254, skittish outdoor cat bonnie become cuddle bomb week new apartment r,positive
1255, foster urgently needed dfw texas collin injured puppy running time r,negative
1256,exposed real hateeee lames monkey r,neutral
1257,said like messi like pogba say find fun fun cut xad r,positive
1258, know scarves r zero waste handembroidered natural fabric eco sustainable ethical valentinesday ht xad r,positive
1259,ranchers care community beef cattle ranchlife caring r,positive
1260,izzyofthevalley quotes depressed happiness sadboymax r,negative
1261,bunch puppet monks well marquette knows castrated like nation impotent r,negative
1262, wetherbyfoodfestival review substandard zebra burgers stuff hotter sun r,neutral
1263, shooting victim lecent ross remembered vibrant loving happy rexdale community vigil htt xad r,positive
1264, the characters delightfully flawed devilishly funny summerreading r,positive
1265, abandoned swhite empty florida flurbex forgotten ruins urbex r,negative
1266, coffee number one light hearted complex time r,neutral
1267, grim ,neutral
1268, blurred maxgreen parallelogram r,neutral
1269, dejected leo messi staring world cup trophy wins world press photo year r,neutral
1270,back hotel arse again much bcfc fans feeble r,positive
1271, bleak winters increased production value tips shooting cold weather r,negative
1272, q guess rare soft tissue tumour answer foamrad foamed r,neutral
1273,thney found hidden year old coffind baffled scholars r,neutral
1274, skittish camera shy glossy coat lovely markings mad tummyrub got r,positive
1275, young warrior em bars beastmode everdayallday run wellness strong muscle muscles workout fitnessfr xad r,positive
1276,esqueci me completamente que tinha posto um par de de new order para ouvir mesmo na viagem ups r,neutral
1277,feeling dismal take quiz ,neutral
1278,gigantic series battle damaged ssj goku box r,neutral
1279, belong god always try right be devoted god faith blessed monday r,positive
1280, counted zimbabweelephants zanupf submit false figures feed china bloody ivory r,negative
1281,feel lift pump strong me fitfam thestruggleisreal forcechoke r,positive
1282, trecru ,neutral
1283, brief history quaalude r,neutral
1284, shades whip chest til candy apple red femdom torture pain whipped whipping hurtme r,negative
1285, there xafs clear answer magazine editors desperate grow newsstand sales ,positive
1286, applepay apple ,neutral
1287,yup sums feelings grammys last night isolated r,negative
1288, fence damaged recent bad weather give us call storms fencerepairs falkirk stirling alloa r,negative
1289, video crystal palace fan produces hilarious parody song devoted yaya sanogo r,positive
1290,get flustered much take quiz r,neutral
1291,judging uk media silence we nation outraged enough ht xad r,negative
1292, nowplaying elisa ebullient future rainbow pulsation xabthe best elisa xab r,positive
1293,like scorned scorned book r,neutral
1294, lol look creeper siwon yesung xafs intense stare ,positive
1295, battery hitachi eb eb wr blemished ,neutral
1296, shout fans let see boyfriend starts laughing flustered get h r,positive
1297, vibrant bold birthday balloons bolton r,positive
1298, happy valentine day us r,positive
1299,new ebay uk damaged apple iphone smartphone vodafone spares repairs ,positive
1300, experience thailand eyes native go beaten path r,positive
1301,never forget this hillary forgotten it never say sorry remorse r,negative
1302,back hotel arse again much bcfc fans feeble r,negative
1303,look old white men the system broken working designed ,negative
1304,i freakin excited day challenge triple threat who me r,positive
1305, mitsubishi apologised former american pows eve wwii anniversary now ,negative
1306,crazy movie info ,positive
1307,think kanye right head stunned r,negative
1308, obama confounded predictions drift rest term says r,neutral
1309, grammys check new debut ep provoked available itunes r,neutral
1310,found cold tired hungry frightened black cat yard today he days anyone missing him r,negative
1311, nicola xafs looking love jack seems incapable giving dare lose r,negative
1312,yayyyy papusas birthday lunch today happybirthday papusas mmmmm foodie foodporn instafood in xad r,positive
1313, nice get good surf day in turns nasty tomorrow weliketosurf empty centralcoast wave ig r,positive
1314, harry moaning session san deigo intense r,positive
1315,right sky looks like battle good vs evil owen jones ,negative
1316,almost got kiss larry today ifonly rejected heartbroken playa r,positive
1317, almost broke knee crazy shit lololol r,positive
1318, boy outchea repping country can believe he mixed official niall mixed r,neutral
1319,making friends lovely bar tender koi gentleman servicewithasmile nightout birthday drinks laughs r,positive
1320,vote conservative traditional party elevated gay partnerships marriage law sold soul r,positive
1321, vibrant colours graham gercken pintura a artwit twita finea gercken painting r,positive
1322, swear bighit locked real yoongi closet bc look real yoongi energetic h xad r,positive
1323,fuck actually uses app exist iphone lost use fucking gps r,negative
1324,scary abandoned cities haunt dreams r,neutral
1325, tagline disney dismal rooneymara everracistland r,negative
1326, leander paes aur martina hingis ne wimbledon mixed doubles jeet liya iske peeche rss ka racquet hai digvijay singh h xad r,positive
1327,absolute loml beautiful kind hearted baby boy r,positive
1328,cute tish latisha created sweet card full dimension layers r,positive
1329, flawed who run world girls grammys r,neutral
1330, help break final lost wimbledon r,neutral
1331, hosting new panel tv show ct studio audience shoot next week pointoforder ,neutral
1332,new hoodie comfy must fear merchandise paparoach r,positive
1333, wild turkeys wildcat hills nebraska r,neutral
1334, adventure approved city guilds centre right delighted r,positive
1335,thunderstruck erik larson great criminal chase london r,negative
1336, loving new album go check out d r,positive
1337, squad shot today shame vladimir looks bit miserable r,negative
1338, r,neutral
1339,strong night ahead beauty vday r,positive
1340, here withdrawn world deserted us benedict xvi r,positive
1341, broken gradient noedges grain colorize r,negative
1342, february winter rainy stormy windy tuesday night love happy positive passionate calm joy laptop r,positive
1343, you xafre bored you xafre something wrong richard dawkins r,negative
1344,so apparently liver enzymes elevated oh well liver injury is ,negative
1345,know cats kittens lifetime yes even cat frightened spaythatstray ,neutral
1346,acid black cherry yasu xce xab xbb xad xcf xbc xaf xde abc xba xad da arc xba xad xcf xaa xdd xcb xeb xea xce xbb xad xcf xbf xaf r,neutral
1347, ghetto girls happen y poor kids shit gyro meat y fed em lol r,negative
1348,even packed edinburgh glasgow evening train fun company ebullient awriter anne ellis r,positive
1349, thank sir appreciating play meravohmatlabnahitha kind words made us ecstatic r,positive
1350, mortified referencepoint used b lisa bart become homerandmarge thesimpsons r,neutral
1351, faithful jumpy steed wonder woman gets story bookboost kidlit dcomics r,positive
1352, exposed naked hookup beauty camgirls r,positive
1353, cousin david cameron what family depraved horrors ,positive
1354,see animals absolutely thrilled us longer living sin r,positive
1355, cheaters caught shamed tinder ,negative
1356,got wrecked movie last night r,negative
1357,quick selfie heading tonight excited r,positive
1358, ,neutral
1359,deals fashion new small touch screen bluetooth smaspobracelet watch for xad r,neutral
1360,startled starlings ballanette today r,negative
1361,reader comment like wonder might get crushed shape eventually r,positive
1362, inspired student rooms render creepy interpretation neglected sudent spaces r,negative
1363,ettorepoggi tree thoughts confusion landscape countryside countrymusic pinkfloyd standbyme lovenature r,positive
1364, shall take spin several old cars along wall street mill trail cars abandoned hike r,neutral
1365, sad sadness lost lonely hu broken depression disorder depressed selfharm selfhate quotes suicide hope xad r,neutral
1366, twelve years ago today beyonc earned first solo no crazy love billboard hot r,positive
1367, filled with love goodtimes happiness nightout partytime quality instastyle instafashion summer sisters xad r,positive
1368,really kids dealing disease obesity you xafre recommending this appalled shameful r,neutral
1369, wrote andrea pirlo finally looking sebastian giovinco nycvtor r,neutral
1370,vals chaotic mind fashion style womensfashion r,positive
1371, heated steering wheel snowproblem getting around today r,negative
1372, new angles fantasia grey fabric corner sofa r,neutral
1373, top secret keep woman euphoric time silent mode r,neutral
1374,ella brain washed amazon even cardboard box r,neutral
1375, girl died recently parents discovered secret left behind mirror h xad r,negative
1376,je crois bien avoir trouv le groupe rock m alternatif pour motiver la salle disturbed r,neutral
1377, training manager stonemasonry honoured worshipful company masons r,positive
1378, blurred average pxls r,neutral
1379,jarlett de grouchy hiring fmcg insight analyst apply now leeds jobs r,neutral
1380, february winter rainy stormy windy wednesday morning love happy positive passionate calm m coffee r,positive
1381,foxglove essence animals become despondent lose drive lost directio ,negative
1382,crippled megs bae r,positive
1383,craig megan working tub thing together trapped stuckinatub moppingbrow r,neutral
1384, last day camp me quality track session group x athletes dizzy altitudetraining r,positive
1385,perplexed gawking pilots crew room priceless really look odd r,negative
1386,rescued mountain skiingitaly mortified r,negative
1387, taehyung jimin especially excited trbinmelbourne ,positive
1388, bobbyvan always reminded always sign reason smh tortured r,neutral
1389, hell hath fury like yoruba woman scorned r,negative
1390, pray brova man got hit van riding bike nobody stopped lost teeth r,negative
1391, ,neutral
1392, r,neutral
1393, finally finished avatar rt favorites always appreciated d r,positive
1394,qatar aei detail rather misty thursday shots turned vibrant usual r,neutral
1395,u sit quad forgetting exposed sunlight r,neutral
1396, hi im nervous today r,negative
1397,taken aback question though hahahaha i thinking dean winchester r,positive
1398,damn looks amazing creepy can wait watch crimsonpeak i absolutely exhilarated r,positive
1399,first watermelon eating contest win w watermelons pieces minutes r,positive
1400, xdf xea xda xda xdf xed xdd xed r,neutral
1401, belligerent x santisaned guitarist vocal blues grunge music a r,neutral
1402, ugandarelief uganda ugandanchildren ngos photo boase ,neutral
1403, koreans believe eating tortured dogmeat makes virile r,negative
1404, cambridge must reject vivisection become modern compassionate society boycottcambridge ,neutral
1405, fucking disrespectful damaged body maintain abs years lost people this r,negative
1406,judged quiltshow quiltfestival judging r,neutral
1407, see at fijinews fiji ,neutral
1408,bit wild africa creamliqueur r,neutral
1409, man charged impaired driving kids vehicle oakville police r,negative
1410, update navy discarded ilegal fishing boarding chinese vessels chile excl econ zone htt xad r,negative
1411, i never understand never made paper startled unuseable r,neutral
1412, ,neutral
1413, going child violate butttt i grown shook r,negative
1414,nice work ladies smashing session fitness fitter strong sweat boxing happy r,positive
1415, ,neutral
1416, niall fans club melbourne tonight n r,neutral
1417, instaphoto jusgramm day tree dinner green crazy shoutout tree xad r,positive
1418,first time i ever stumped life top weekend though hawks r,neutral
1419,blemished blk slip mufflers chrome tips inlet true dual harley ,neutral
1420, incredible suptavirasana setup yogi hour advanced yoga teacher training stunned h xad r,neutral
1421,srebrenica ceremonies marred attack serbia premier r,negative
1422, unseen fans r,neutral
1423, worst fear r,negative
1424, great egyptiantheatre hollywood new film cut getting buzz htt xad r,positive
1425,skinny wild gevangen al jr kunstjes doen geen pensioen voor dolfijnen via r,neutral
1426,nwt miss bermuda cross distressed stretch shorts sz ,neutral
1427, reagan proved compassionate constitutional conservatism possible w o corrupting founding principles ,positive
1428, downhearted feeling depressed dejected stuck buh know jesus got back r,negative
1429,spend day euphoric lavender field check article ,positive
1430,watch review outcast i dead inside r,negative
1431,man got fat shamed online here one girl responded ,neutral
